x_m,y_m,z_m,T_ice,T_ftst_interp,abs_err,pct_err
0.0001,0.0081,0.005001,25.1197,25.1196,0.00010000000000331966,0.00039809392629416623
0.0,0.0081,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0082,0.005001,25.1144,25.1144,0.0,0.0
0.0,0.0082,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0083,0.005001,25.109,25.1089,0.00010000000000331966,0.00039826357084438114
0.0,0.0083,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0084,0.005001,25.1034,25.1034,0.0,0.0
0.0,0.0084,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0085,0.005001,25.0977,25.0977,0.0,0.0
0.0,0.0085,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0086,0.005001,25.0919,25.0919,0.0,0.0
0.0,0.0086,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0087,0.005001,25.0859,25.0859,0.0,0.0
0.0,0.0087,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0088,0.005001,25.0798,25.0798,0.0,0.0
0.0,0.0088,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0089,0.005001,25.0736,25.0736,0.0,0.0
0.0,0.0089,0.005001,25.0,25.0,0.0,0.0
0.0001,0.009,0.005001,25.0673,25.0673,0.0,0.0
0.0,0.009,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0091,0.005001,25.0609,25.0608,9.999999999976694e-05,0.00039902796786932216
0.0,0.0091,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0092,0.005001,25.0543,25.0543,0.0,0.0
0.0,0.0092,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0093,0.005001,25.0477,25.0477,0.0,0.0
0.0,0.0093,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0094,0.005001,25.0411,25.0411,0.0,0.0
0.0,0.0094,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0095,0.005001,25.0343,25.0343,0.0,0.0
0.0,0.0095,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0096,0.005001,25.0275,25.0275,0.0,0.0
0.0,0.0096,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0097,0.005001,25.0207,25.0207,0.0,0.0
0.0,0.0097,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0098,0.005001,25.0138,25.0138,0.0,0.0
0.0,0.0098,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0099,0.005001,25.0069,25.0069,0.0,0.0
0.0,0.0099,0.005001,25.0,25.0,0.0,0.0
0.0001,0.01,0.005001,25.0,25.0,0.0,0.0
0.0,0.01,0.005001,25.0,25.0,0.0,0.0
0.0002,0.0,0.005001,25.0,25.0,0.0,0.0
0.0002,0.0001,0.005001,25.0138,25.0138,0.0,0.0
0.0002,0.0002,0.005001,25.0276,25.0276,0.0,0.0
0.0002,0.0003,0.005001,25.0413,25.0413,0.0,0.0
0.0002,0.0004,0.005001,25.055,25.055,0.0,0.0
0.0002,0.0005,0.005001,25.0686,25.0686,0.0,0.0
0.0002,0.0006,0.005001,25.082,25.082,0.0,0.0
0.0002,0.0007,0.005001,25.0954,25.0954,0.0,0.0
0.0002,0.0008,0.005001,25.1086,25.1086,0.0,0.0
0.0002,0.0009,0.005001,25.1216,25.1216,0.0,0.0
0.0002,0.001,0.005001,25.1344,25.1344,0.0,0.0
0.0002,0.0011,0.005001,25.1471,25.1471,0.0,0.0
0.0002,0.0012,0.005001,25.1595,25.1595,0.0,0.0
0.0002,0.0013,0.005001,25.1717,25.1717,0.0,0.0
0.0002,0.0014,0.005001,25.1836,25.1836,0.0,0.0
0.0002,0.0015,0.005001,25.1953,25.1952,9.999999999976694e-05,0.00039689942171660183
0.0002,0.0016,0.005001,25.2066,25.2066,0.0,0.0
0.0002,0.0017,0.005001,25.2177,25.2177,0.0,0.0
0.0002,0.0018,0.005001,25.2285,25.2285,0.0,0.0
0.0002,0.0019,0.005001,25.239,25.239,0.0,0.0
0.0002,0.002,0.005001,25.2492,25.2492,0.0,0.0
0.0002,0.0021,0.005001,25.2591,25.2591,0.0,0.0
0.0002,0.0022,0.005001,25.2686,25.2686,0.0,0.0
0.0002,0.0023,0.005001,25.2778,25.2778,0.0,0.0
0.0002,0.0024,0.005001,25.2867,25.2867,0.0,0.0
0.0002,0.0025,0.005001,25.2952,25.2952,0.0,0.0
0.0002,0.0026,0.005001,25.3034,25.3034,0.0,0.0
0.0002,0.0027,0.005001,25.3113,25.3113,0.0,0.0
0.0002,0.0028,0.005001,25.3188,25.3188,0.0,0.0
0.0002,0.0029,0.005001,25.3259,25.3259,0.0,0.0
0.0002,0.003,0.005001,25.3327,25.3328,9.999999999976694e-05,0.0003947467107720969
0.0002,0.0031,0.005001,25.3392,25.3392,0.0,0.0
0.0002,0.0032,0.005001,25.3454,25.3454,0.0,0.0
0.0002,0.0033,0.005001,25.3511,25.3511,0.0,0.0
0.0002,0.0034,0.005001,25.3566,25.3566,0.0,0.0
0.0002,0.0035,0.005001,25.3617,25.3617,0.0,0.0
0.0002,0.0036,0.005001,25.3664,25.3664,0.0,0.0
0.0002,0.0037,0.005001,25.3708,25.3709,9.999999999976694e-05,0.0003941539092175375
0.0002,0.0038,0.005001,25.3749,25.3749,0.0,0.0
0.0002,0.0039,0.005001,25.3787,25.3787,0.0,0.0
0.0002,0.004,0.005001,25.3821,25.3821,0.0,0.0
0.0002,0.0041,0.005001,25.3852,25.3852,0.0,0.0
0.0002,0.0042,0.005001,25.388,25.388,0.0,0.0
0.0002,0.0043,0.005001,25.3904,25.3904,0.0,0.0
0.0002,0.0044,0.005001,25.3925,25.3925,0.0,0.0
0.0002,0.0045,0.005001,25.3943,25.3943,0.0,0.0
0.0002,0.0046,0.005001,25.3957,25.3957,0.0,0.0
0.0002,0.0047,0.005001,25.3969,25.3968,9.999999999976694e-05,0.0003937488433618395
0.0002,0.0048,0.005001,25.3977,25.3976,9.999999999976694e-05,0.00039373644070039024
0.0002,0.0049,0.005001,25.3981,25.3981,0.0,0.0
0.0002,0.005,0.005001,25.3983,25.3983,0.0,0.0
0.0002,0.0051,0.005001,25.3982,25.3981,9.999999999976694e-05,0.0003937286894337513
0.0002,0.0052,0.005001,25.3977,25.3976,9.999999999976694e-05,0.00039373644070039024
0.0002,0.0053,0.005001,25.3969,25.3968,9.999999999976694e-05,0.0003937488433618395
0.0002,0.0054,0.005001,25.3958,25.3957,9.999999999976694e-05,0.0003937658982972106
0.0002,0.0055,0.005001,25.3943,25.3943,0.0,0.0
0.0002,0.0056,0.005001,25.3925,25.3925,0.0,0.0
0.0002,0.0057,0.005001,25.3904,25.3904,0.0,0.0
0.0002,0.0058,0.005001,25.388,25.388,0.0,0.0
0.0002,0.0059,0.005001,25.3853,25.3852,9.999999999976694e-05,0.0003939287697989112
0.0002,0.006,0.005001,25.3822,25.3821,9.999999999976694e-05,0.0003939768814356636
0.0002,0.0061,0.005001,25.3788,25.3787,9.999999999976694e-05,0.00039402966255206324
0.0002,0.0062,0.005001,25.375,25.3749,9.999999999976694e-05,0.00039408866994980495
0.0002,0.0063,0.005001,25.3709,25.3709,0.0,0.0
0.0002,0.0064,0.005001,25.3665,25.3664,9.999999999976694e-05,0.000394220724182536
0.0002,0.0065,0.005001,25.3617,25.3617,0.0,0.0
0.0002,0.0066,0.005001,25.3566,25.3566,0.0,0.0
0.0002,0.0067,0.005001,25.3512,25.3511,9.999999999976694e-05,0.00039445864495472806
0.0002,0.0068,0.005001,25.3454,25.3454,0.0,0.0
0.0002,0.0069,0.005001,25.3393,25.3392,9.999999999976694e-05,0.00039464389308214114
0.0002,0.007,0.005001,25.3328,25.3328,0.0,0.0
0.0002,0.0071,0.005001,25.326,25.3259,9.999999999976694e-05,0.00039485114111886203
0.0002,0.0072,0.005001,25.3189,25.3188,9.999999999976694e-05,0.00039496186643086
0.0002,0.0073,0.005001,25.3113,25.3113,0.0,0.0
0.0002,0.0074,0.005001,25.3035,25.3034,9.999999999976694e-05,0.00039520224474781353
0.0002,0.0075,0.005001,25.2953,25.2952,9.999999999976694e-05,0.0003953303578125699
0.0002,0.0076,0.005001,25.2868,25.2867,9.999999999976694e-05,0.0003954632456450124
0.0002,0.0077,0.005001,25.2779,25.2778,9.999999999976694e-05,0.00039560248280024444
0.0002,0.0078,0.005001,25.2687,25.2686,9.999999999976694e-05,0.00039574651644035103
0.0002,0.0079,0.005001,25.2591,25.2591,0.0,0.0
0.0002,0.008,0.005001,25.2493,25.2492,0.00010000000000331966,0.0003960505835936667
